title,region,company,category
Graphic Design (UI/UX),Bali,TIXZY.ID,ui-ux-design
UI/UX Designer,Jakarta Barat,Barantum,ui-ux-design
UI UX Developer,Banten,PT. GUNA DHITA TATTA INFORMATIKA,ui-ux-design
UI/UX Designer,Jakarta Selatan,PT Alternative Media Group,ui-ux-design
Web Designer,Makati City,VPC CORPORATE SOLUTIONS INCORPORATED,ui-ux-design
Industrial Product Designer - R&D,Bogor,LEGANO,ui-ux-design
UI/UX Developer,Jakarta Selatan,PT Datacomm Diangraha,ui-ux-design
UI UX Designer,Sidoarjo,PT Bimasakti Multi Sinergi,ui-ux-design
Product Designer,Jakarta Barat,PT. Jakmall Digital Niaga,ui-ux-design
Sr UX Designer,Jakarta Raya,PT. Elabram Systems,ui-ux-design
UI/UX Designer,Jakarta Raya,PT Nomura Research Institute Indonesia,ui-ux-design
Product Designer,Jakarta Barat,PT. Royal Puspita,ui-ux-design
Graphic Design & UI/UX Web Design - Yogyakarta,Yogyakarta,PT. SOLUSI KEMASAN DIGITAL.,ui-ux-design
Product designer,Tangerang,PT Shangyang Technology Indonesia,ui-ux-design
Design Lead,Banten,Sekolah Pelita Harapan,ui-ux-design
UI /UX,Jawa Barat,PT. Jago Talenta Indonesia,ui-ux-design
Packaging Designer,Bandung,PT Timur Tengah Indonesia,ui-ux-design
Regional UI/UX Designer -Indonesia,Jakarta Raya,LAZADA.CO.ID,ui-ux-design
